iter	RMSE
0	0.7465827967
1	0.7464070623
2	0.7462415811
3	0.7460838296
4	0.7459354708
5	0.7457901378
6	0.7456559525
7	0.7455230092
8	0.7454003486
9	0.7452743919
10	0.7451520399
11	0.745037008
12	0.7449236188
13	0.7448171179
14	0.7447125249
15	0.7446137754
16	0.744515756
17	0.7444260758
18	0.7443358162
19	0.7442477326
20	0.7441657189
21	0.7440843086
22	0.7440016644
23	0.7439237805
24	0.7438464573
25	0.7437686447
26	0.7436975647
27	0.7436276598
28	0.7435601561
29	0.7434935657
30	0.7434238606
31	0.7433550247
32	0.7432910436
33	0.7432209691
34	0.7431589038
35	0.7430883349
36	0.7430309462
37	0.7429730711
38	0.7429080932
39	0.7428438107
40	0.7427832039
41	0.7427165439
42	0.7426607482
43	0.7426005649
44	0.7425433577
45	0.7424882505
46	0.7424287108
47	0.7423769714
48	0.7423248338
49	0.7422678685
50	0.7422176529
51	0.7421655918
52	0.7421075176
53	0.7420597478
54	0.7420047801
55	0.7419512563
56	0.7419010193
57	0.7418538504
58	0.741800184
59	0.7417514728
60	0.7417071911
61	0.7416590004
62	0.7416137475
63	0.7415655069
64	0.7415224433
65	0.7414787625
66	0.7414311277
67	0.7413892418
68	0.7413439724
69	0.7412931673
70	0.7412514931
71	0.7412065228
72	0.7411650633
73	0.7411175841
74	0.7410736159
75	0.7410321929
76	0.7409930081
77	0.7409492082
78	0.7409075586
79	0.7408683672
80	0.7408231539
81	0.7407825079
82	0.7407425188
83	0.7407017805
84	0.7406602928
85	0.7406234177
86	0.7405866727
87	0.74054975
88	0.7405111551
89	0.7404724702
90	0.7404355858
91	0.7403980401
92	0.7403581182
93	0.7403196892
94	0.7402810822
95	0.7402444522
96	0.7402114703
97	0.7401751447
98	0.7401376737
99	0.7401007726
100	0.7400640457
101	0.74003022
102	0.7399920379
103	0.7399507303
104	0.7399139079
105	0.7398805594
106	0.7398458894
107	0.7398114818
108	0.7397767646
109	0.7397452581
110	0.7397089535
111	0.7396726912
112	0.739640168
113	0.7396086117
114	0.7395702757
115	0.7395354151
116	0.7395009931
117	0.7394693427
118	0.7394253206
119	0.73939534
120	0.7393639933
121	0.739332205
122	0.7392989183
123	0.7392686244
124	0.7392408832
125	0.7392094419
126	0.7391774708
127	0.739147348
128	0.7391138328
129	0.7390850287
130	0.7390543296
131	0.7390231447
132	0.7389945353
133	0.7389639645
134	0.7389274013
135	0.7388966516
136	0.7388672883
137	0.7388375935
138	0.7388102547
139	0.7387823861
140	0.7387527099
141	0.7387265577
142	0.7386938386
143	0.7386638724
144	0.7386383561
145	0.738611649
146	0.7385842136
147	0.7385551906
148	0.738528238
149	0.7385042818
150	0.7384640151
151	0.7384312623
152	0.7384025639
153	0.7383775014
154	0.7383512037
155	0.7383241335
156	0.7382980322
157	0.7382723269
158	0.7382454522
159	0.7382216852
160	0.7381947205
161	0.7381687249
162	0.7381422213
163	0.7381164664
164	0.738093864
165	0.7380705111
166	0.7380488336
167	0.7380241561
168	0.7380005584
169	0.7379757029
170	0.7379509126
171	0.7379282831
172	0.7379028075
173	0.7378627286
174	0.737840317
175	0.7378128971
176	0.7377920502
177	0.7377674083
178	0.7377439568
179	0.7377170187
180	0.7376973165
181	0.7376747674
182	0.7376497685
183	0.7376257617
184	0.7376048213
185	0.737579489
186	0.7375563626
187	0.7375336327
188	0.7375098428
189	0.7374839776
190	0.7374603406
191	0.7374366586
192	0.7374156467
193	0.7373916764
194	0.7373693829
195	0.7373481261
196	0.7373265598
197	0.7373048824
198	0.7372838225
199	0.7372643073
200	0.7372433787
201	0.7372224054
202	0.7372011886
203	0.7371798829
204	0.7371615793
205	0.7371396763
206	0.7371167127
207	0.7370952279
208	0.7370742724
209	0.7370521901
210	0.7370344797
211	0.7370146708
212	0.7369919684
213	0.7369687794
214	0.736947732
215	0.736929268
216	0.736909103
217	0.7368896221
218	0.7368708916
219	0.736849488
220	0.7368306461
221	0.7368105225
222	0.7367907739
223	0.7367709143
224	0.7367510321
225	0.7367321877
226	0.7367121056
227	0.7366927079
228	0.7366749446
229	0.7366557005
230	0.7366206136
231	0.7366008378
232	0.7365810615
233	0.7365651296
234	0.7365468328
235	0.7365288892
236	0.7365054205
237	0.7364865698
238	0.7364693761
239	0.736453265
240	0.7364369987
241	0.7364167981
242	0.7363987408
243	0.7363786938
244	0.7363605472
245	0.7363437706
246	0.7363107024
247	0.7362946983
248	0.7362761959
249	0.7362587763
250	0.736240892
251	0.7362222998
252	0.7362064928
253	0.736188563
254	0.7361735069
255	0.7361562396
256	0.7361350805
257	0.7361173259
258	0.7360991286
259	0.7360828767
260	0.7360674646
261	0.7360533791
262	0.7360359541
263	0.7360198777
264	0.736004774
265	0.7359888075
266	0.7359740348
267	0.7359573821
268	0.7359407289
269	0.7359249822
270	0.7359087486
271	0.7358946821
272	0.7358780054
273	0.735863319
274	0.7358465752
275	0.735830362
276	0.7358142811
277	0.7358009427
278	0.7357869405
279	0.7357697969
280	0.7357543562
281	0.7357371012
282	0.7357251551
283	0.7357097578
284	0.7356966166
285	0.7356803116
286	0.7356653336
287	0.735649227
288	0.7356348679
289	0.7356200881
290	0.7356046664
291	0.7355917226
292	0.7355759241
293	0.7355612759
294	0.7355495704
295	0.7355341694
296	0.7355191442
297	0.7355038974
298	0.7354890929
299	0.7354730266
300	0.7354603903
301	0.7354466472
302	0.7354338554
303	0.7354194921
304	0.7354040884
305	0.7353894589
306	0.7353743422
307	0.7353598892
308	0.7353462328
309	0.7353321112
310	0.7353188084
311	0.7353034468
312	0.7352908518
313	0.7352757773
314	0.7352631376
315	0.7352500992
316	0.7352363743
317	0.7352218521
318	0.7352079939
319	0.735190881
320	0.7351766679
321	0.7351632959
322	0.7351510306
323	0.7351372817
324	0.7351066169
325	0.7350921366
326	0.7350794715
327	0.7350648356
328	0.73505403
329	0.7350398365
330	0.7350279013
331	0.7350141722
332	0.7350012844
333	0.7349867797
334	0.7349740686
335	0.7349636382
336	0.7349502401
337	0.7349368197
338	0.7349257686
339	0.7349132779
340	0.7349003883
341	0.7348885394
342	0.7348775541
343	0.7348647525
344	0.7348546306
345	0.7348412527
346	0.7348301338
347	0.7348154264
348	0.7348033768
349	0.7347901087
350	0.7347766411
351	0.7347569485
352	0.7347289927
353	0.7347152137
354	0.7347037385
355	0.7346918421
356	0.7346789708
357	0.7346606049
358	0.7346495497
359	0.7346375196
360	0.7346114646
361	0.7346004973
362	0.7345878238
363	0.7345775651
364	0.7345650685
365	0.7345557402
366	0.7345450601
367	0.7345326737
368	0.7345202649
369	0.7345080775
370	0.7344965768
371	0.734484389
372	0.7344711595
373	0.7344581735
374	0.7344471153
375	0.7344359017
376	0.7344244664
377	0.734413718
378	0.7344023931
379	0.7343912232
380	0.7343657801
381	0.7343550529
382	0.7343439488
383	0.7343335981
384	0.7343221391
385	0.7343113004
386	0.7342941888
387	0.734282707
388	0.7342581467
389	0.7342486593
390	0.7342367556
391	0.7342253837
392	0.7342024177
393	0.7341924418
394	0.7341778104
395	0.73416728
396	0.7341556188
397	0.7341255782
398	0.7341149362
399	0.734102986
400	0.7340920333
401	0.7340820781
402	0.7340706816
403	0.7340596176
404	0.7340487529
405	0.7340388193
406	0.7340278878
407	0.7340183531
408	0.73401006
409	0.7339977533
410	0.7339882847
411	0.7339594791
412	0.7339483025
413	0.7339378131
414	0.7339289204
415	0.7339176989
416	0.7339076527
417	0.7338977394
418	0.7338869389
419	0.7338639623
420	0.733853006
421	0.7338432028
422	0.7338334883
423	0.7338230639
424	0.7338139479
425	0.7338041443
426	0.7337942296
427	0.7337829173
428	0.7337724922
429	0.7337606695
430	0.7337508873
431	0.7337228265
432	0.7337131104
433	0.7337026399
434	0.7336935446
435	0.7336833401
436	0.7336738009
437	0.7336523705
438	0.7336434965
439	0.7336170291
440	0.7336075334
441	0.7335984147
442	0.7335888966
443	0.7335787128
444	0.7335687063
445	0.7335589438
446	0.7335304985
447	0.733521157
448	0.7335116601
449	0.7335011423
450	0.7334924884
451	0.733480417
452	0.7334537662
453	0.7334448453
454	0.7334248064
455	0.7334153082
456	0.733407208
457	0.7333973546
458	0.7333725206
459	0.733364087
