iter	Passed	Remaining
0	4	35688
1	7	31600
2	11	31530
3	14	29827
4	17	28683
5	21	28066
6	24	28027
7	27	27849
8	31	27796
9	34	27788
10	38	27675
11	41	27593
12	45	28068
13	49	28326
14	53	28659
15	57	28646
16	61	28645
17	64	28649
18	68	28722
19	72	28831
20	76	28973
21	79	28845
22	82	28729
23	86	28649
24	89	28622
25	93	28721
26	96	28626
27	100	28544
28	103	28531
29	107	28530
30	110	28491
31	114	28409
32	117	28338
33	120	28327
34	124	28314
35	127	28251
36	130	28190
37	134	28146
38	137	28097
39	141	28073
40	144	28020
41	147	27976
42	151	27950
43	154	27957
44	158	27954
45	161	27915
46	165	27938
47	169	28006
48	173	28082
49	176	28056
50	179	28030
51	183	28015
52	186	27978
53	189	27944
54	193	27951
55	196	27919
56	200	27881
57	203	27919
58	207	27905
59	210	27894
60	214	27959
61	218	27968
62	221	27945
63	225	27924
64	229	28063
65	233	28040
66	236	28008
67	240	28049
68	245	28209
69	248	28183
70	252	28151
71	255	28184
72	259	28198
73	263	28256
74	267	28244
75	270	28216
76	274	28273
77	278	28246
78	281	28225
79	284	28194
80	288	28188
81	292	28243
82	295	28223
83	299	28195
84	302	28182
85	306	28219
86	310	28206
87	313	28178
88	316	28152
89	320	28139
90	323	28118
91	326	28102
92	330	28079
93	333	28072
94	337	28056
95	340	28031
96	343	28015
97	347	27994
98	350	27973
99	353	27964
100	357	27944
101	360	27928
102	363	27903
103	367	27900
104	370	27885
105	374	27902
106	378	27914
107	381	27913
108	385	27898
109	389	27920
110	392	27900
111	395	27889
112	399	27882
113	402	27864
114	406	27870
115	409	27854
116	413	27835
117	416	27822
118	419	27806
119	423	27787
120	426	27765
121	429	27760
122	433	27755
123	436	27741
124	440	27754
125	445	27856
126	449	27862
127	453	27878
128	457	27923
129	461	27912
130	464	27896
131	468	27897
132	472	27932
133	476	27946
134	479	27931
135	482	27917
136	486	27946
137	491	27990
138	494	27983
139	498	27980
140	502	28019
141	506	28027
142	511	28086
143	514	28084
144	518	28112
145	522	28116
146	526	28142
147	530	28128
148	533	28118
149	537	28144
150	542	28176
151	545	28159
152	548	28143
153	552	28164
154	557	28215
155	560	28204
156	564	28203
157	568	28237
158	573	28272
159	576	28259
160	580	28245
161	584	28259
162	588	28271
163	591	28284
164	595	28268
165	598	28254
166	602	28275
167	606	28295
168	610	28279
169	613	28266
170	617	28277
171	622	28334
172	626	28322
173	629	28308
174	633	28322
175	637	28360
176	641	28345
177	645	28357
178	649	28394
179	653	28390
180	657	28391
181	660	28377
182	664	28373
183	667	28364
184	671	28352
185	674	28344
186	678	28329
187	681	28316
188	684	28309
189	688	28304
190	692	28303
191	695	28293
192	699	28290
193	703	28290
194	706	28280
195	710	28272
196	713	28258
197	717	28264
198	720	28251
199	724	28238
200	727	28224
201	730	28213
202	734	28208
203	737	28194
204	741	28179
205	744	28165
206	747	28159
207	751	28153
208	755	28145
209	758	28149
210	762	28148
211	766	28145
212	769	28139
213	773	28134
214	776	28130
215	780	28130
216	784	28141
217	788	28134
218	791	28133
219	795	28140
220	799	28136
221	803	28140
222	806	28129
223	809	28116
224	813	28113
225	817	28113
226	820	28101
227	823	28086
228	827	28072
229	831	28074
230	834	28062
231	837	28057
232	841	28063
233	845	28055
234	849	28056
235	854	28111
236	859	28139
237	863	28154
238	867	28154
239	871	28174
240	874	28163
241	879	28183
242	883	28197
243	887	28208
244	890	28198
245	894	28200
246	898	28195
247	902	28210
248	906	28202
249	909	28194
250	913	28201
251	917	28221
252	921	28212
253	924	28202
254	928	28212
255	932	28208
256	936	28221
257	940	28215
258	944	28231
259	948	28241
260	951	28227
261	955	28211
262	958	28196
263	962	28197
264	965	28182
265	968	28167
266	972	28153
267	975	28147
268	979	28141
269	982	28139
270	986	28145
271	990	28134
272	993	28124
273	997	28117
274	1000	28104
275	1004	28099
276	1007	28085
277	1010	28070
278	1014	28063
279	1017	28050
280	1020	28034
281	1024	28031
282	1027	28031
283	1031	28021
284	1034	28016
285	1038	28006
286	1041	28002
287	1045	28002
288	1049	27996
289	1052	27987
290	1055	27974
291	1059	27971
292	1062	27957
293	1066	27943
294	1069	27929
295	1072	27915
296	1076	27913
297	1079	27902
298	1082	27890
299	1086	27880
300	1089	27871
301	1093	27860
302	1096	27849
303	1099	27837
304	1102	27826
305	1106	27817
306	1109	27805
307	1112	27794
308	1116	27786
309	1119	27775
310	1123	27766
311	1126	27759
312	1130	27766
313	1133	27755
314	1137	27741
315	1140	27742
316	1145	27758
317	1148	27750
318	1152	27744
319	1156	27748
320	1159	27744
321	1164	27758
322	1167	27747
323	1170	27736
324	1175	27752
325	1179	27775
326	1183	27768
327	1186	27759
328	1190	27762
329	1195	27787
330	1198	27778
331	1202	27775
332	1206	27788
333	1211	27802
334	1214	27796
335	1218	27783
336	1221	27783
337	1225	27780
338	1229	27785
339	1233	27787
340	1237	27802
341	1241	27810
342	1245	27799
343	1248	27788
344	1251	27776
345	1255	27775
346	1258	27764
347	1262	27751
348	1265	27739
349	1268	27729
350	1272	27721
351	1275	27710
352	1278	27700
353	1282	27693
354	1285	27683
355	1288	27675
356	1292	27665
357	1295	27654
358	1298	27642
359	1302	27634
360	1305	27624
361	1308	27612
362	1312	27609
363	1316	27610
364	1320	27615
365	1323	27605
366	1326	27593
367	1330	27583
368	1333	27577
369	1337	27573
370	1340	27565
371	1343	27556
372	1347	27545
373	1350	27538
374	1354	27532
375	1357	27527
376	1361	27525
377	1364	27515
378	1367	27507
379	1371	27507
380	1375	27497
381	1378	27486
382	1381	27475
383	1384	27465
384	1388	27455
385	1391	27444
386	1394	27433
387	1397	27423
388	1401	27414
389	1404	27405
390	1407	27396
391	1412	27406
392	1415	27407
393	1419	27403
394	1424	27423
395	1428	27426
396	1432	27433
397	1436	27440
398	1440	27442
399	1443	27434
400	1447	27425
401	1451	27430
402	1455	27437
403	1459	27438
404	1462	27429
405	1466	27430
406	1470	27428
407	1474	27436
408	1477	27427
409	1481	27419
410	1485	27427
411	1489	27437
412	1493	27429
413	1496	27422
414	1500	27423
415	1504	27422
416	1507	27413
417	1510	27403
418	1514	27394
419	1518	27397
420	1521	27387
421	1524	27377
422	1527	27368
423	1531	27361
424	1534	27356
425	1538	27357
426	1542	27353
427	1545	27344
428	1549	27339
429	1552	27328
430	1555	27317
431	1558	27307
432	1562	27297
433	1565	27293
434	1568	27283
435	1572	27273
436	1575	27262
437	1578	27254
438	1581	27244
439	1585	27235
440	1588	27227
441	1591	27218
442	1595	27210
443	1598	27206
444	1601	27197
445	1605	27187
446	1608	27179
447	1611	27169
448	1615	27162
449	1619	27164
450	1622	27165
451	1626	27165
452	1630	27158
453	1633	27152
454	1636	27143
455	1640	27135
456	1643	27126
457	1646	27118
458	1650	27111
459	1653	27102
460	1656	27093
461	1659	27083
462	1663	27075
463	1666	27067
464	1669	27057
465	1673	27048
466	1676	27044
467	1679	27036
468	1683	27030
469	1687	27040
470	1691	27032
471	1694	27024
472	1698	27023
473	1702	27034
474	1706	27031
475	1709	27022
476	1713	27026
477	1718	27047
478	1722	27041
479	1726	27046
480	1730	27053
481	1735	27066
482	1738	27060
483	1742	27051
484	1746	27054
485	1750	27069
486	1754	27065
487	1757	27056
488	1761	27050
489	1765	27054
490	1769	27059
491	1772	27051
492	1775	27041
493	1779	27041
494	1783	27039
495	1786	27031
496	1790	27023
497	1793	27014
498	1797	27013
499	1800	27004
500	1803	26999
501	1807	26992
502	1810	26984
503	1813	26978
504	1817	26970
505	1820	26962
506	1823	26954
507	1827	26948
508	1830	26943
509	1834	26936
510	1837	26929
511	1840	26921
512	1844	26915
513	1847	26906
514	1850	26899
515	1854	26891
516	1857	26882
517	1860	26874
518	1863	26866
519	1867	26858
520	1870	26849
521	1873	26842
522	1877	26840
523	1880	26834
524	1884	26828
525	1887	26821
526	1891	26815
527	1894	26816
528	1898	26816
529	1902	26816
