iter	RMSE
0	0.7455182062
1	0.7445303679
2	0.743572738
3	0.7426513244
4	0.7417650684
5	0.7409234103
6	0.7401114077
7	0.7393182389
8	0.7385577161
9	0.7378229519
10	0.7371179802
11	0.7364396686
12	0.7357854363
13	0.735158961
14	0.7345412755
15	0.7339470562
16	0.7333838879
17	0.7328400803
18	0.73230956
19	0.7318092947
20	0.7313171622
21	0.730852171
22	0.730395013
23	0.7299560132
24	0.7295361683
25	0.7291361541
26	0.7287457833
27	0.7283706488
28	0.7280050509
29	0.7276589889
30	0.7273270485
31	0.7270068489
32	0.7266933529
33	0.7263927355
34	0.7261055149
35	0.725831061
36	0.7255723316
37	0.7253198648
38	0.7250720151
39	0.7248318052
40	0.7245997458
41	0.7243879601
42	0.7241706104
43	0.7239608213
44	0.7237620177
45	0.723580327
46	0.7233991306
47	0.7232309955
48	0.7230552581
49	0.7228872592
50	0.7227237975
51	0.7225679034
52	0.7224201225
53	0.722278657
54	0.7221463595
55	0.7220110081
56	0.7218837842
57	0.7217686249
58	0.7216577054
59	0.7215439898
60	0.7214346962
61	0.7213287074
62	0.721227361
63	0.7211414202
64	0.7210452843
65	0.7209604055
66	0.7208786233
67	0.7208037687
68	0.7207229805
69	0.7206407378
70	0.7205635092
71	0.7204956699
72	0.7204261253
73	0.7203568632
74	0.7202897276
75	0.7202349154
76	0.7201786888
77	0.720123615
78	0.7200737809
79	0.7200267284
80	0.7199810472
81	0.7199307692
82	0.719878462
83	0.7198256444
84	0.7197770561
85	0.7197322636
86	0.7196893861
87	0.7196481707
88	0.7196145163
89	0.7195772775
90	0.7195361643
91	0.7195028666
92	0.7194642828
93	0.7194326106
94	0.719397281
95	0.7193651715
96	0.7193350879
97	0.7193059082
98	0.7192780307
99	0.7192511296
100	0.7192255311
101	0.7192012714
102	0.7191751641
103	0.7191553929
104	0.7191305876
105	0.7191120827
106	0.7190943378
107	0.7190766649
108	0.7190614905
109	0.7190476558
110	0.7190319375
111	0.7190179211
112	0.7190070555
113	0.7189938717
114	0.7189839474
115	0.7189765223
116	0.7189693506
117	0.7189573614
118	0.718948306
119	0.7189355558
120	0.7189235298
121	0.7189116485
122	0.7189004915
123	0.718896543
124	0.7188925221
125	0.7188851684
126	0.7188793724
127	0.7188737212
128	0.7188668021
129	0.7188617304
130	0.7188463341
131	0.7188395596
132	0.7188347776
133	0.7188302854
134	0.7188276045
135	0.7188227499
136	0.7188200328
137	0.7188178591
138	0.7188156129
139	0.7188135117
140	0.7188112655
141	0.7188093454
142	0.7188076064
143	0.7188056862
144	0.718803911
145	0.7188019909
146	0.7188005417
147	0.7187990201
148	0.7187973897
149	0.718796013
150	0.718794745
151	0.7187932958
152	0.7187919191
153	0.7187907235
154	0.7187873541
155	0.7187835862
156	0.718782463
157	0.718781521
158	0.7187806515
159	0.7187796008
160	0.7187785139
161	0.7187776444
162	0.7187767386
163	0.7187757242
164	0.7187752169
165	0.7187743836
166	0.7187711953
167	0.7187685143
168	0.7187662317
169	0.7187638404
170	0.7187615579
171	0.7187594202
172	0.7187572463
173	0.7187553261
174	0.7187532609
175	0.7187515942
176	0.7187496014
177	0.7187480072
178	0.718746413
179	0.7187449638
180	0.7187433695
181	0.7187416666
182	0.7187405072
183	0.7187390217
184	0.7187377535
185	0.7187365216
186	0.7187354709
187	0.718734094
188	0.718733152
189	0.7187321737
190	0.7187304707
191	0.7187292751
192	0.7187274996
193	0.7187266663
194	0.7187259416
195	0.7187227169
196	0.7187219922
197	0.7187182964
198	0.7187174993
199	0.7187168833
200	0.7187161224
201	0.7187155427
202	0.7187117381
203	0.7187111221
204	0.7187106511
205	0.7187101076
206	0.7187096365
207	0.7187090568
208	0.718708622
209	0.718708151
210	0.7187076437
211	0.7187072089
212	0.7187066654
213	0.7187063755
214	0.7187060494
215	0.7187056508
216	0.7187051798
217	0.7187048174
218	0.7187043826
219	0.7187042014
220	0.7187039116
221	0.718703513
222	0.7187031506
223	0.7187030057
224	0.7187027883
225	0.7187026071
226	0.7187023535
227	0.7187020636
228	0.7187017737
229	0.7187015563
230	0.7186992373
231	0.7186964835
232	0.7186941645
233	0.7186919542
234	0.7186896714
235	0.7186877509
236	0.7186853956
237	0.7186834389
238	0.7186813011
239	0.718679598
240	0.7186777862
241	0.7186760107
242	0.7186743801
243	0.7186728219
244	0.7186713
245	0.7186696694
246	0.7186684736
247	0.7186669517
248	0.7186654298
249	0.7186641615
250	0.718663002
251	0.7186616975
252	0.7186607191
253	0.718659632
254	0.7186585811
255	0.7186575303
