iter	Passed	Remaining
0	8	72239
1	14	63793
2	18	55335
3	22	50832
4	28	50749
5	33	49616
6	37	48802
7	43	49314
8	48	48124
9	52	47034
10	56	46380
11	62	46678
12	66	45970
13	71	45702
14	76	45957
15	80	45462
16	85	44951
17	89	44507
18	95	44999
19	99	44800
20	104	44610
21	110	44957
22	115	45084
23	120	44974
24	126	45235
25	130	44942
26	134	44632
27	139	44595
28	143	44349
29	147	44115
30	151	43865
31	156	43931
32	161	43762
33	165	43560
34	169	43357
35	174	43444
36	178	43291
37	182	43116
38	188	43211
39	193	43233
40	197	43081
41	203	43362
42	208	43394
43	212	43269
44	216	43169
45	222	43322
46	226	43206
47	231	43109
48	236	43248
49	241	43201
50	245	43146
51	250	43183
52	255	43170
53	260	43171
54	265	43245
55	271	43358
56	275	43238
57	279	43139
58	285	43307
59	290	43278
60	294	43190
61	300	43293
62	304	43259
63	309	43180
64	314	43173
65	319	43248
66	323	43140
67	328	43151
68	333	43207
69	338	43142
70	342	43051
71	346	43009
72	351	43003
73	356	42976
74	360	42907
75	365	42904
76	369	42820
77	374	42797
78	378	42757
79	383	42738
80	388	42742
81	392	42703
82	397	42726
83	402	42717
84	406	42675
85	412	42753
86	417	42754
87	421	42689
88	425	42614
89	431	42700
90	436	42779
91	441	42793
92	447	42845
93	451	42775
94	455	42703
95	460	42716
96	464	42653
97	468	42588
98	473	42528
99	478	42589
100	482	42541
101	487	42506
102	492	42579
103	497	42546
104	501	42493
105	505	42431
106	510	42456
107	514	42398
108	519	42390
109	525	42434
110	529	42421
111	534	42408
112	538	42365
113	544	42422
114	548	42390
115	552	42349
116	558	42402
117	564	42490
118	569	42511
119	575	42584
120	579	42556
121	584	42507
122	589	42554
123	594	42520
124	598	42470
125	602	42424
126	607	42468
127	612	42437
128	616	42415
129	622	42444
130	626	42431
131	630	42385
132	635	42336
133	640	42361
134	644	42329
135	648	42290
136	654	42323
137	658	42286
138	662	42240
139	666	42188
140	671	42202
141	676	42180
142	680	42138
143	684	42096
144	690	42161
145	694	42144
146	699	42131
147	704	42155
148	708	42107
149	712	42059
150	716	42015
151	721	42013
152	725	41966
153	729	41923
154	735	41979
155	739	41934
156	744	41908
157	748	41914
158	754	41932
159	758	41929
160	762	41886
161	768	41912
162	772	41879
163	776	41836
164	780	41796
165	785	41818
166	790	41792
167	794	41761
168	799	41782
169	803	41743
170	807	41711
171	811	41671
172	816	41669
173	820	41632
174	824	41597
175	829	41578
176	834	41580
177	838	41548
178	842	41520
179	847	41525
180	851	41491
181	855	41457
182	859	41422
183	864	41439
184	869	41429
185	874	41424
186	879	41437
187	883	41409
188	887	41382
189	891	41346
190	897	41377
191	901	41367
192	905	41336
193	909	41301
194	915	41355
195	920	41330
196	924	41296
197	929	41311
198	933	41285
199	938	41275
200	942	41248
201	947	41267
202	952	41287
203	956	41257
204	962	41303
205	966	41271
206	970	41238
207	976	41264
208	981	41265
209	985	41242
210	989	41215
211	994	41233
212	998	41210
213	1003	41182
214	1008	41218
215	1013	41206
216	1017	41179
217	1021	41151
218	1026	41176
219	1030	41145
220	1034	41113
221	1040	41150
222	1044	41124
223	1049	41103
224	1053	41103
225	1059	41135
226	1063	41110
227	1068	41094
228	1073	41118
229	1078	41119
230	1082	41093
231	1086	41065
232	1092	41095
233	1096	41091
234	1101	41073
235	1106	41099
236	1111	41094
237	1115	41078
238	1121	41098
239	1125	41095
240	1130	41084
241	1134	41059
242	1140	41089
243	1145	41089
244	1149	41066
245	1154	41068
246	1158	41042
247	1162	41014
248	1166	40988
249	1171	41004
250	1175	40980
251	1179	40953
252	1185	40979
253	1189	40966
254	1193	40944
255	1198	40931
256	1203	40958
257	1208	40935
258	1212	40911
259	1217	40936
260	1221	40915
261	1226	40903
262	1230	40878
263	1235	40882
264	1239	40857
265	1243	40832
266	1247	40815
267	1253	40840
268	1257	40826
269	1262	40806
270	1267	40814
271	1271	40790
272	1275	40765
273	1280	40794
274	1285	40797
275	1290	40778
276	1294	40770
277	1300	40793
278	1304	40786
279	1309	40771
280	1314	40785
281	1318	40767
282	1323	40755
283	1327	40739
284	1332	40754
285	1336	40732
286	1341	40718
287	1346	40718
288	1350	40698
289	1354	40687
290	1358	40668
291	1364	40682
