id,target
0,8.080194
5,8.379458
15,8.412376
16,8.501771
17,8.132655
19,8.319054
20,8.539495
21,7.8859863
23,8.072073
29,8.297285
31,8.377798
32,7.7892776
33,8.401408
34,8.198529
35,8.454597
37,8.420208
38,8.148316
39,8.363333
40,8.474078
44,7.985982
49,7.946637
53,8.32831
56,8.153845
60,8.304126
61,7.649459
63,8.22344
64,8.41941
66,8.467653
70,8.023786
71,8.367252
72,8.560066
75,8.082396
76,8.0662565
78,8.267343
85,8.435965
86,7.8531623
89,8.446571
90,8.447349
92,7.8024507
93,8.206649
94,8.431315
100,8.023746
101,8.336679
102,8.441618
105,7.83851
106,8.437294
107,8.282366
108,8.166043
109,8.343341
112,8.380619
113,8.254965
116,8.217555
117,8.340308
118,8.500664
120,7.983899
129,8.373083
130,8.134416
132,8.180124
133,8.4428425
134,8.243568
136,8.468585
137,8.195631
141,8.044567
142,8.358543
152,7.98812
154,8.168779
156,8.229073
160,7.821565
161,8.2173605
166,8.197302
170,8.234598
173,8.010285
174,7.8451166
175,8.186411
179,8.372477
182,8.050062
186,8.005152
188,8.203275
189,8.301087
191,8.160628
193,8.330675
194,8.118039
195,8.000017
196,8.003984
197,8.208441
199,8.278725
200,8.071136
202,8.418671
203,8.412145
204,8.466739
206,8.107339
207,8.529802
212,7.928365
217,7.988003
218,7.9156113
220,8.712893
224,7.8911276
225,8.116674
229,8.444288
230,8.4369545
234,8.126622
235,8.135923
238,8.062731
239,8.534611
241,8.147586
243,8.130339
245,7.755722
247,8.202893
251,8.373432
252,8.045331
253,8.430586
255,8.1482525
256,8.254683
258,8.635837
259,8.471412
260,8.075043
263,7.6615005
264,8.482019
266,8.272526
267,8.236309
268,8.40439
270,8.465853
273,8.208735
274,8.450765
275,8.082438
276,8.0325985
277,8.433052
281,8.346231
282,8.228366
285,8.231729
292,8.192406
293,8.019262
295,8.052402
298,8.105783
299,8.514326
300,8.419115
301,7.9611197
302,7.8394227
309,8.187266
311,8.373247
316,8.332999
317,8.026632
319,8.190911
321,8.171152
322,8.318781
324,8.398309
328,7.9400864
329,8.500595
331,8.489616
334,8.207063
337,8.070406
338,8.174507
340,8.543206
344,8.263039
349,7.823201
350,7.6921625
351,8.488241
354,8.039377
356,8.32472
358,8.01097
361,8.6563225
364,8.330021
365,8.594458
370,7.9953165
372,8.293701
374,8.348341
375,7.801174
376,8.254813
379,8.352786
380,8.375067
382,8.103768
383,8.340968
385,8.470849
389,8.297047
392,8.514784
394,8.121007
395,8.4293995
398,7.90086
400,8.030092
402,8.445925
403,8.190396
406,8.584921
410,8.103449
412,8.297239
413,8.301134
417,8.092875
418,8.288245
419,8.484949
420,8.256554
423,8.285968
424,8.354813
426,8.490096
427,7.9906588
432,8.000832
434,8.008692
438,8.429949
441,8.320218
443,8.427841
448,8.386418
449,8.291933
451,8.257497
452,8.234388
457,8.577711
458,8.177236
459,8.436375
464,8.332402
465,8.256308
467,8.158231
471,8.224468
472,7.8640723
477,8.123312
478,8.21726
480,8.3103895
483,8.267485
487,8.251976
489,8.215608
491,8.206133
492,8.089873
496,8.15885
500,8.29833
501,8.075438
502,8.369676
503,8.262027
505,8.117983
506,7.8675485
514,8.006777
517,7.9359956
519,8.096796
522,8.134996
523,8.410686
528,8.196692
530,8.039019
532,8.085714
535,8.192522
538,8.031868
542,8.444148
546,8.087746
548,7.912276
550,8.182959
555,8.594071
557,8.086103
559,8.202703
560,8.586296
562,8.198066
566,8.255717
567,8.449131
569,8.278085
571,8.329561
572,8.324907
574,8.21378
577,8.246115
581,8.460464
583,8.519594
587,8.201092
590,7.970044
592,8.252015
593,8.285223
608,8.626848
612,8.127226
614,8.448742
616,8.496698
617,8.158083
625,8.125517
626,8.267527
631,7.913516
633,8.262434
636,8.174085
639,8.097778
641,8.004034
642,7.8002787
644,8.245142
645,7.892232
646,8.594764
647,8.09918
649,8.624414
650,8.492622
651,7.931282
653,7.9984207
655,8.406363
656,8.7374115
662,8.262946
669,8.352156
670,8.30657
673,8.329496
674,7.945592
675,7.8089647
685,7.8591385
688,8.334448
689,8.144707
690,8.370372
691,8.320082
696,8.334825
698,8.344183
700,8.389068
701,8.155166
702,8.181434
703,8.60423
704,7.670039
706,8.324663
708,8.930325
716,8.335302
717,8.481996
718,8.219573
719,7.804877
720,8.31623
721,8.288191
723,7.981871
725,7.706051
726,8.068685
728,8.471078
730,7.870984
731,8.252392
734,8.422666
736,8.392598
739,8.3001995
743,8.417563
747,8.345571
749,8.411985
752,7.9108377
759,8.39378
763,7.983149
764,7.7426596
765,8.009566
766,8.480028
769,8.245406
776,8.216593
778,7.794043
783,8.089665
784,8.151166
787,8.452218
791,7.890097
792,8.267157
796,8.506665
799,7.747644
800,8.103623
801,8.373657
803,7.953388
804,7.931169
805,8.248275
806,8.249174
807,8.26999
809,8.073357
811,8.367332
813,8.0954685
814,8.452414
815,7.879233
816,8.405355
818,8.10967
822,8.563717
828,8.254648
831,7.7880073
832,8.166852
834,7.8522925
835,8.651316
836,8.281576
838,8.228782
839,8.104
842,8.122033
845,8.342271
846,8.597859
848,8.030326
852,7.985199
856,8.43741
857,8.235294
860,8.287319
869,8.138703
871,8.093763
876,8.458051
885,8.475241
887,8.599229
888,8.379774
889,8.428066
891,7.568074
895,8.409089
902,8.322214
903,8.669373
905,8.141545
907,8.132574
908,8.551122
909,8.175531
910,8.419348
911,8.020113
913,8.500826
914,8.432322
916,7.914641
917,8.090864
919,8.161524
923,8.301869
924,7.986319
925,8.37892
926,8.576174
929,8.451631
930,8.533729
931,8.223227
936,8.486368
937,8.331024
947,8.084162
949,8.217672
952,8.1149025
955,8.613423
956,8.55348
961,8.187602
963,7.8629713
964,7.872905
966,8.615297
968,8.327131
969,8.027051
971,8.423325
974,8.63585
980,8.106278
981,8.126698
982,8.406572
983,8.188925
984,8.026789
986,8.184465
992,8.502501
993,8.218008
994,8.422514
998,8.277399
999,7.917353
1004,8.725381
1006,8.019284
1007,8.052205
1011,8.991793
1012,8.166181
1014,8.0246935
1020,8.351087
1021,8.358964
1023,7.977192
1025,7.8360686
1026,8.093122
1027,8.140558
1033,8.137944
1034,8.388519
1038,8.20677
1040,8.27853
1043,8.315306
1045,8.40576
1046,8.263696
1048,8.304905
1049,8.20088
1052,8.503882
1054,8.349528
1055,7.999138
1056,8.269958
1058,8.350714
1060,8.643553
1064,8.106012
1067,7.9888244
1069,8.226275
1070,8.14976
1072,8.245505
1077,8.443155
1082,8.346306
1086,8.602514
1091,8.454668
1093,8.460805
1097,8.184505
1101,8.370438
1104,8.119377
1106,8.258054
1107,8.258348
1109,8.659371
